platform,level_1,post_id,content,engagement_score,likes,comments,shares
facebook,609,facebook_609_4684,Latest trends in machine learning for 2024. #MachineLearning #SQL,1442,1000,166,276
facebook,392,facebook_392_2207,5 tips for becoming a better AI engineer. #DataScience #DataEngineering,1420,979,183,258
facebook,110,facebook_110_8530,The future of AI analytics is here. #SQL #DataScience,1383,970,131,282
instagram,281,instagram_281_8034,How machine learning is transforming industries. #MachineLearning #DataEngineering,2352,1946,256,150
instagram,81,instagram_81_5586,Latest trends in machine learning for 2024. #DataEngineering #Python #BigData,2273,1902,276,95
instagram,978,instagram_978_1461,Latest trends in big data for 2024. #DataEngineering #AI #SQL,2267,1909,252,106
twitter,67,twitter_67_2333,5 tips for becoming a better data engineering engineer. #BigData,750,474,97,179
twitter,206,twitter_206_7070,Just launched our new data engineering product. What do you think? #SQL,730,489,67,174
twitter,182,twitter_182_8124,5 tips for becoming a better machine learning engineer. #DataScience #DataEngineering,723,483,100,140
youtube,62,youtube_62_3817,How machine learning is transforming industries. #BigData #SQL #DataEngineering,5521,4998,470,53
youtube,922,youtube_922_2378,Just launched our new data engineering product. What do you think? #DataEngineering #BigData,5347,4822,473,52
youtube,451,youtube_451_9315,The future of data engineering analytics is here. #MachineLearning #DataScience #AI #Python,5280,4997,265,18
